Date,macOS Sierra,OS X El Capitan,OS X 10.10,macOS High Sierra,OS X Mavericks,mac OS X Snow Leopard,OS X Mountain Lion,mac OS X Lion,mac OS X Leopard,mac OS X Tiger,macOS Mojave,macOS Catalina,macOS Big Sur 11.0,macOS Big Sur 11.1,macOS Big Sur 10.16,macOS Big Sur 11.2,macOS Big Sur 11.3,macOS Big Sur 11.5,macOS 11.6,macOS Big Sur 11.4,WinXP,WinVista,Win7,Win2000,Win2003,Win98,WinME,Win8,WinNT,Win8.1,Win8.1 RT,Win10,WinCE,Win11,OS X,Linux,Unknown,FreeBSD,Chrome OS
2010-01,,,,,,,,,,,,,,,,,,,,,63.466144,21.124128,8.372768,0.37504,0.309408,0.065632,0.037504,,,,,,,,5.16,0.7,0.2,0.01,
2010-02,,,,,,,,,,,,,,,,,,,,,61.169472,21.136704,10.260264,0.354768,0.336096,0.065352,0.037344,,,,,,,,5.63,0.74,0.11,0.01,
2010-03,,,,,,,,,,,,,,,,,,,,,59.703336,20.721008,11.92576,0.363363,0.354046,0.065219,0.037268,,,,,,,,5.78,0.78,0.11,0.01,
2010-04,,,,,,,,,,,,,,,,,,,,,58.555504,20.17232,13.469904,0.334656,0.343952,0.055776,0.027888,,,,,,,,5.92,0.79,0.15,0.01,
2010-05,,,,,,,,,,,,,,,,,,,,,58.019744,19.454664,14.83988,0.316336,0.334944,0.055824,0.027912,,,,,,,,5.77,0.81,0.18,0.01,
2010-06,,,,,,,,,,,,,,,,,,,,,57.696822,18.74727,16.117056,0.289137,0.335772,0.046635,0.027981,,,,,,,,5.56,0.8,0.08,0.01,
2010-07,,,,,,,,,,,,,,,,,,,,,56.319173,18.462091,17.855706,0.261212,0.317186,0.046645,0.018658,,,,,,,,5.53,0.77,0.08,0.01,
2010-08,,,,,,,,,,,,,,,,,,,,,55.381828,17.681589,19.432057,0.223464,0.316574,0.037244,0.018622,,,,,,,,5.66,0.79,0.08,0.01,
2010-09,,,,,,,,,,,,,,,,,,,,,54.28836,16.885584,21.120912,0.204336,0.315792,0.037152,0.018576,,,,,,,,5.9,0.78,0.08,0.01,
2010-10,,,,,,,,,,,,,,,,,,,,,53.008024,16.476344,22.707128,0.18544,0.296704,0.027816,0.018544,,,,,,,,6.05,0.77,0.07,0.01,
2010-11,,,,,,,,,,,,,,,,,,,,,51.768596,16.105991,24.117357,0.175769,0.296032,0.027753,0.018502,,,,,,,,6.22,0.78,0.07,0.01,
2010-12,,,,,,,,,,,,,,,,,,,,,50.590708,15.489592,25.859116,0.147872,0.286502,0.027726,0.009242,,,,,,,,6.25,0.75,0.08,0.01,
2011-01,,,,,,,,,,,,,,,,,,,,,48.779802,15.100482,27.679616,0.147232,0.27606,0.018404,,,,,,,,,6.56,0.74,0.07,0.01,
2011-02,,,,,,,,,,,,,,,,,,,,,48.004362,14.413266,29.120868,0.13797,0.266742,0.018396,,,,,,,,,6.59,0.76,0.07,0.01,
2011-03,,,,,,,,,,,,,,,,,,,,,47.320743,13.663485,30.602526,0.128814,0.266829,0.018402,,,,,,,,,6.53,0.76,0.07,0.01,
2011-04,,,,,,,,,,,,,,,,,,,,,46.569474,13.116348,31.907862,0.101178,0.248346,0.018396,,,,,,,,,6.47,0.76,0.07,0.01,
2011-05,,,,,,,,,,,,,,,,,,,,,45.837075,12.52359,33.21234,0.09195,0.25746,0.01839,,,,,,,,,6.35,0.81,0.08,0.01,
2011-06,,,,,,,,,,,,,,,,,,,,,45.041406,11.99817,34.541858,0.073552,0.248238,0.018388,,,,,,,,,6.27,0.79,0.08,0.01,
2011-07,,,,,,,,,,,,,,,,,,,,,43.886299,11.566433,36.058975,0.082683,0.238862,0.018374,,,,,,,,,6.23,0.76,0.07,0.01,
2011-08,,,,,,,,,,,,,,,,,,,,,42.581175,11.129275,37.681725,0.09175,0.23855,0.01835,,,,,,,,,6.28,0.78,0.04,0.01,
2011-09,,,,,,,,,,,,,,,,,,,,,40.589505,11.124531,39.040635,0.09111,0.245997,0.009111,,,,,,,,,6.78,0.8,0.06,0.01,
2011-10,,,,,,,,,,,,,,,,,,,,,38.44975,11.182092,40.494372,0.081423,0.226175,0.009047,,,,,,,,,7.18,0.84,0.07,0.02,
2011-11,,,,,,,,,,,,,,,,,,,,,37.91045,11.12245,41.1232,0.08145,0.2353,0.00905,,,,,,,,,7.05,0.84,0.04,0.03,
2011-12,,,,,,,,,,,,,,,,,,,,,36.432015,10.879945,42.643967,0.072232,0.234754,0.009029,,,,,,,,,7.01,0.83,0.07,0.04,
2012-01,,,,,,,,,,,,,,,,,,,,,34.77256,10.449692,44.066154,0.071696,0.233012,,,0,0.008962,,,,,,7.33,0.82,0.07,0.05,
2012-02,,,,,,,,,,,,,,,,,,,,,34.0458,9.87185,45.2333,0.0716,0.2506,,,0,0.00895,,,,,,7.41,0.83,0.08,0.04,
2012-03,,,,,,,,,,,,,,,,,,,,,33.486939,9.053181,46.4724,0.062559,0.250236,,,0.017874,0.008937,,,,,,7.32,0.83,0.14,0.04,
2012-04,,,,,,,,,,,,,,,,,,,,,31.79025,8.919375,47.58775,0.062125,0.239625,,,0.12425,0.008875,,,,,,7.66,0.85,0.05,0.04,
2012-05,,,,,,,,,,,,,,,,,,,,,31.065738,8.374783,48.925429,0.053286,0.230906,,,0.133215,0.008881,,,,,,7.45,0.86,0.05,0.04,
2012-06,,,,,,,,,,,,,,,,,,,,,29.911485,8.320104,50.196183,0.053334,0.213336,,,0.17778,0.008889,,,,,,7.05,0.83,0.05,0.15,
2012-07,,,,,,,,,,,,,,,,,,,,,29.098375,8.112005,51.14206,0.044425,0.23101,,,0.19547,0.01777,,,,,,6.92,0.83,0.06,0.04,
2012-08,,,,,,,,,,,,,,,,,,,,,29.79627,7.982288,53.148124,0.04577,0.302082,,,0.247158,0.009154,,,,,,7.41,0.85,0.06,0.02,
2012-09,,,,,,,,,,,,,,,,,,,,,28.657874,7.859716,54.11533,0.04559,0.191478,,,0.291776,0.009118,,,,,,7.75,0.88,0.06,0.02,
2012-10,,,,,,,,,,,,,,,,,,,,,28.049424,7.474384,54.906224,0.036416,0.191184,,,0.36416,0.009104,,,,,,7.87,0.9,0.06,0.01,
2012-11,,,,,,,,,,,,,,,,,,,,,27.233184,7.254294,55.258242,0.036408,0.18204,,,1.037628,0.009102,,,,,,7.86,0.9,0.06,0.01,
2012-12,,,,,,,,,,,,,,,,,,,,,26.563264,7.051306,55.543858,0.036488,0.164196,,,1.842644,0.009122,,,,,,7.69,0.88,0.07,0.01,
2013-01,,,,,,,,,,,,,,,,,,,,,25.51428,6.922056,55.631136,0.036384,0.18192,,,2.656032,0.009096,0,,,,,7.95,0.88,0.07,0.01,0.01
2013-02,,,,,,,,,,,,,,,,,,,,,25.198251,6.72438,55.376178,0.036348,0.18174,,,3.334929,0.009087,0,,,,,7.95,0.93,0.07,0.01,0.02
2013-03,,,,,,,,,,,,,,,,,,,,,24.70436,6.481476,55.598484,0.04558,0.200552,,,4.120432,0.009116,0,,,,,7.7,0.95,0.08,0.01,0.02
2013-04,,,,,,,,,,,,,,,,,,,,,22.756104,6.34396,56.840056,0.036512,0.301224,,,4.993016,0.009128,0,,,,,7.47,1.05,0.08,0.01,0.02
2013-05,,,,,,,,,,,,,,,,,,,,,22.57374,6.04086,56.27538,0.036336,0.327024,,,5.568492,0.009084,0,,,,,7.61,1.28,0.09,0.01,0.02
2013-06,,,,,,,,,,,,,,,,,,,,,22.309081,5.724219,55.759138,0.045215,0.280333,,,6.293928,0.009043,0,,,,,7.87,1.3,0.12,0.01,0.02
2013-07,,,,,,,,,,,,,,,,,,,,,21.744747,5.565135,55.787085,0.036196,0.27147,,,7.031073,0.009049,0.018098,,,,,7.81,1.23,0.08,0.01,0.03
2013-08,,,,,,,,,,,,,,,,,,,,,21.87024,5.533216,55.277824,0.036224,0.280736,,,7.489312,0.009056,0.018112,,,,,7.63,1.23,0.09,0.01,0.03
2013-09,,,,,,,,,,,,,,,,,,,,,21.831778,5.617002,55.115696,0.036356,0.299937,,,7.90743,0.009089,0.036356,,,,,7.41,1.02,0.1,0.01,0.04
2013-10,,,,,,,,,,,,,,,,,,,,,21.279924,5.61906,54.894591,0.036252,0.299079,,,8.147637,0.009063,0.326268,,,,,7.42,1.1,0.1,0.01,0.04
2013-11,,,,,,,,,,,,,,,,,,,,,20.534282,5.167448,55.125468,0.036136,0.252952,,,7.99509,0.018068,1.183454,,,,,7.45,1.15,0.11,0.01,0.05
2013-12,,,,,,,,,,,,,,,,,,,,,19.79055,4.2984,54.795645,0.03582,0.19701,,,8.13114,0.01791,2.22084,,,,,7.83,1.13,0.08,0.01,0.1
2014-01,,,,,,,,,,,,,,,,,,,,,19.133711,3.954715,54.361779,0.026661,0.168853,0.017774,,7.90943,0.017774,3.217094,0.053322,,,,8.35,1.13,0.05,0.01,0.14
2014-02,,,,,,,,,,,,,,,,,,,,,18.566515,3.792195,55.197505,0.026895,0.16137,0.01793,,7.90713,0.01793,3.87288,0.07172,,,,8.39,1.14,0.26,0.01,0.16
2014-03,,,,,,,,,,,,,,,,,,,,,18.611997,3.665049,54.680022,0.035844,0.152337,0.008961,,7.849836,0.017922,4.4805,0.080649,,,,8.58,1.16,0.47,0.01,0.18
2014-04,,,,,,,,,,,,,,,,,,,,,17.158232,3.5672,55.104322,0.026754,0.142688,0.008918,,7.812168,0.008918,5.234866,0.080262,,,,8.85,1.34,0.44,0.01,0.19
